label.value,abstract.value,words_string
Thin-film drug delivery,"Thin-film drug delivery uses a dissolving film or oral drug strip to administer drugs via absorption in the mouth (buccally or sublingually) and/or via the small intestines (enterically). A film is prepared using hydrophilic polymers that rapidly dissolves on the tongue or buccal cavity, delivering the drug to the systemic circulation via dissolution when contact with liquid is made. Thin-film drug delivery has emerged as an advanced alternative to the traditional tablets, capsules and liquids often associated with prescription and OTC medications. Similar in size, shape and thickness to a postage stamp, thin-film strips are typically designed for oral administration, with the user placing the strip on or under the tongue (sublingual) or along the inside of the cheek (buccal). These drug delivery options allow the medication to bypass the first pass metabolism thereby making the medication more bioavailable. As the strip dissolves, the drug can enter the blood stream enterically, buccally or sublingually. Evaluating the systemic transmucosal drug delivery, the buccal mucosa is the preferred region as compared to the sublingual mucosa. Different buccal delivery products have been marketed or are proposed for certain diseases like trigeminal neuralgia, Meniere's disease, diabetes, and addiction. There are many commercial non-drug product to use thin films like Mr. Mint and Listerine PocketPaks breath freshening strips. Since then, thin-film products for other breath fresheners, as well as a number of cold, flu, anti-snoring and gastrointestinal medications, have entered the marketplace. There are currently several projects in development that will deliver prescription drugs using the thin-film dosage form. Formulation of oral drug strips involves the application of both aesthetic and performance characteristics such as strip-forming polymers, plasticizers, active pharmaceutical ingredient, sweetening agents, saliva stimulating agent, flavoring agents, coloring agents, stabilizing and thickening agents. From the regulatory perspectives, all excipients used in the formulation of oral drug strips should be approved for use in oral pharmaceutical dosage forms.",Drug_delivery_devices
Subdermal implant,"A subdermal implant refers to a body modification that is placed underneath the skin, therefore allowing the body to heal over the implant and creating a raised design. Such implants fall under the broad category of body modification. Many subdermal implants are made out of silicone, either carved or mold injected. Many people who have subdermal implants use them in conjunction with other types of body modification to create a desired, dramatic effect. This process is also known as a 3-D implant, or pocketing.",Implants_(medicine)
AptarGroup,"AptarGroup, Inc., also known as Aptar, is a United States-based global manufacturer of consumer dispensing packaging and drug delivery devices. The group has manufacturing operations in 18 countries.",Drug_delivery_devices
Endomag,"Endomag is a medical device manufacturer, headquartered in Cambridge, UK, with a US office in Austin, Texas. Originally incorporated as Endomagnetics Ltd, the company was founded in 2007 and produces surgical guidance products which assist surgeons in locating and removing cancerous tumors, predominantly for breast cancer surgery. The company's products are distributed by Leica Biosystems in North America and Sysmex Corporation across Europe. The company's location at the St John's Innovation Park in Cambridge is central to Silicon Fen, the cluster of high-tech businesses in the area which form one of the most important technology centres in Europe.",Medical_device_manufacturers
Pacemaker failure,"Pacemaker failure is the inability of an implanted artificial pacemaker to perform its intended function of regulating the beating of the heart. A pacemaker uses electrical impulses delivered by electrodes in order to contract the heart muscles. Failure of a pacemaker is defined by the requirement of repeat surgical pacemaker-related procedures after the initial implantation. Most implanted pacemakers are dual chambered and have two leads, causing the implantation time to take longer because of this more complicated pacemaker system. These factors can contribute to an increased rate of complications which can lead to pacemaker failure. Approximately 2.25 million pacemakers were implanted in the United States between 1990 and 2002, and of those pacemakers, about 8,834 were removed from patients because of device malfunction most commonly connected to generator abnormalities. In the 1970s, results of an Oregon study indicated that 10% of implanted pacemakers failed within the first month. Another study found that more than half of pacemaker complications occurred during the first 3 months after implantation. Causes of pacemaker failure include lead related failure, unit malfunction, problems at the insertion site, failures related to exposure to high voltage electricity or high intensity microwaves, and a miscellaneous category (one patient had ventricular tachycardia when using his electric razor and another patient had persistent pacing of the diaphragm muscle). Pacemaker malfunction has the ability to cause serious injury or death, but if detected early enough, patients can continue with their needed therapy once complications are resolved.",Implants_(medicine)
Internalnet,"An internalnet is a computer network composed of devices inside and on the human body. Such a system could be used to link nanochondria, bionic implants, wearable computers, and other devices.",Implants_(medicine)
Otis Boykin,"Otis Frank Boykin (August 29, 1920 – March 26, 1982) was an American inventor and engineer. His inventions include electrical resistors used in computing, missile guidance, and pacemakers.",Implants_(medicine)
Cloth face mask,"A cloth face mask is a mask made of common textiles, usually cotton, worn over the mouth and nose. When more effective masks are not available, and when physical distancing is impossible, cloth face masks are recommended by public health agencies for disease ""source control"" in epidemic situations to protect others from virus laden droplets in infected mask wearers' breath, coughs, and sneezes. Because they are less effective than N95 masks, surgical masks, or physical distancing in protecting the wearer against viruses, they are not considered to be personal protective equipment by public health agencies. They are used by the general public in household and community settings as protection against both infectious diseases and particulate air pollution. Cloth face masks were routinely used by healthcare workers starting from the late 19th century until the mid 20th century. In the 1960s they fell out of use in the developed world in favor of modern surgical masks, but their use has persisted in developing countries. During the COVID-19 pandemic, their use in developed countries was revived due to shortages of surgical masks and respirators, as well as for environmental concerns and practicality.",Medical_masks
Wade-Dahl-Till valve,"The Wade-Dahl-Till (WDT) valve is a cerebral shunt developed in 1962 by hydraulic engineer Stanley Wade, author Roald Dahl, and neurosurgeon Kenneth Till. In 1960, Dahl's son Theo developed hydrocephalus after being struck by a taxicab. A standard was installed to drain excess fluid from his brain. However, the shunt jammed too often, causing pain and blindness, risking brain damage and requiring emergency surgery. Till, neurosurgeon at London's Great Ormond Street Hospital for children, determined that debris accumulated in the hydrocephalic ventricles could clog the slits in the Holter valves, especially with patients such as Theo who had bad bleeding in the brain and brain damage. Dahl knew Wade to be an expert in precision hydraulic engineering, from their shared hobby of flying model aircraft. (In addition to building his own model aircraft engines, Wade ran a factory at High Wycombe for producing precision hydraulic pumps.) With Dahl coordinating the efforts of the neurosurgeon and the hydraulic engineer, the team developed a new mechanism using two metal discs, each in a restrictive housing at the end of a short silicone rubber tube. Fluid moving under pressure from below pushed the discs against the tube to prevent retrograde flow; pressure from above moved each disc to the ""open"" position. As Till reported in The Lancet, the invention was characterized by “low resistance, ease of sterilisation, no reflux, robust construction, and negligible risk of blockage”. By the time the device was perfected, Theo had healed to the point at which it was no longer necessary to implant the shunt in his skull. However, several thousand other children around the world benefited from the WDT valve before medicine technology progressed beyond it. The co-inventors agreed never to accept any profit from the invention.",Implants_(medicine)
Pâteçassaïé,"Pâteçassaïé was a brand of fluoride-free, herbal toothpaste produced in Bangui, Central African Republic, from 1923 until the factory's closure in 1966. The toothpaste was notable for being one of the first locally manufactured toothpastes in what was the French colony of Ubangi-Shari, and the formula was loosely based on dentifrice brands in Europe, whilst using a mixture of salt and local herbs.",Drug_delivery_devices
Mobility scooter,"A mobility scooter is an electric vehicle and mobility aid equivalent or auxiliary to a wheelchair but configured like a motorscooter. When motorized they are commonly referred to as a power-operated vehicle/scooter or electric scooter as well. Non-motorized mobility scooters are less common, but are intended for the estimated 60% of wheelchair users who have at least some use of their legs.",Mobility_devices
Mitra personal mover,"The Mitra personal mover is an Indian battery-operated mobility device. The vehicle is capable of carrying a single person and aimed to be useful particularly in airport corridors, institutional campuses and in speciality buildings such as hospitals where low noise pollution is required. The vehicle is twin motor based and works on unique hybrid steering mechanism developed by inventors Rishabh Sinha and Subhav Sinha. Subhav Sinha, one of inventors, was selected as the 'International Climate Champion' for year 2010, a program run by British Council. The creation has been covered by CII (Confederation of Indian Industries) in Journal of Small Business and Enterprise as ""Mitra shows path of Innovation"". The Economic Times has featured their exhibition at The Auto Expo with the article 'Personalised mover' draws eyes at Auto Expo' Entrepreneur India magazine has also featured the Mitra in its start-up section in the article 'Mobility Gets Personal'. Techpedia, a portal of technology projects by students, an initiative of SRISTI (Society for Research and Initiatives for Sustainable Technologies and Institutions) has featured this vehicle in a list of its top-ranking projects. The vehicle has been covered by leading daily locals like The Hindu, and Deccan Chronicle. Mitra was used at the Commonwealth Games 2010 held at New Delhi. It was also featured in the CII- I3 National Fair Exhibition, organised jointly by CII, Agilent Technologies and DST (Department of Science and Technology). Mitra was displayed at the 10th Auto Expo held at Pragati Maidan in New Delhi, India.",Mobility_devices
Polydioxanone,"Polydioxanone (PDO, PDS) or poly-p-dioxanone is a colorless, crystalline, biodegradable synthetic polymer.",Biomaterials
Hoople (mobility aid),"A Hoople is a hoop-shaped mobility aid used by some blind and visually impaired people, and was designed to help them navigate their way over rough terrain or in a rural environment. It performs a similar role to a white cane, but is designed for use in conditions where using a white cane can be difficult, for example, in snow or on sand. It can also be used by young children as a pre-cane aid or by people with arthritis and other medical conditions which would make the use of a traditional cane difficult. The Hoople is designed to detect obstructions, much like cat's whiskers, through both tactile and audio feedback. Because the Hoople is moved along the ground rather than being moved from side to side like a cane, the user can also detect drops two paces ahead, narrow gaps or similar potential obstructions on either side of the path ahead. The Hoople was invented in the early 1990s by Clive Ellis and Tony Larkin, two lecturers at the Royal National College for the Blind in Hereford, United Kingdom. The Hoople is made to order with five different sizes available.",Mobility_devices
Zirconium dioxide,"Zirconium dioxide (ZrO2), sometimes known as zirconia (not to be confused with zircon), is a white crystalline oxide of zirconium. Its most naturally occurring form, with a monoclinic crystalline structure, is the mineral baddeleyite. A dopant stabilized cubic structured zirconia, cubic zirconia, is synthesized in various colours for use as a gemstone and a diamond simulant.",Biomaterials
Intramedullary rod,"An intramedullary rod, also known as an intramedullary nail (IM nail) or inter-locking nail or Küntscher nail (without proximal or distal fixation), is a metal rod forced into the medullary cavity of a bone. IM nails have long been used to treat fractures of long bones of the body. Gerhard Küntscher is credited with the first use of this device in 1939, during World War II, for soldiers with fractures of the femur. Prior to that, treatment of such fractures was limited to traction or plaster, both of which required long periods of inactivity. IM nails resulted in earlier return to activity for the soldiers, sometimes even within a span of a few weeks, since they share the load with the bone, rather than entirely supporting the bone.",Orthopedic_implants
Biomimetic material,"Biomimetic materials are materials developed using inspiration from nature. This may be useful in the design of composite materials. Natural structures have inspired and innovated human creations. Notable examples of these natural structures include: honeycomb structure of the beehive, strength of spider silks, bird flight mechanics, and shark skin water repellency. The etymological roots of the neologism (new term) biomimetic derive from Greek, since bios means ""life"" and mimetikos means ""imitative"",",Biomaterials
Manel Muñoz,"Manel Muñoz (born 10 October 1996 in Barcelona), known artistically as Manel De Aguas, is a Spanish cyborg artist and transpecies activist based in Barcelona, best known for developing and installing weather sensory fins in his head. The fins, formally known as 'Weather Fins', allow him to hear atmospheric pressure, humidity and temperature changes through implants at each side of his head. Depending on the changes he feels, he can predict weather changes as well as sense his current altitude. De Aguas studied contemporary photography in Barcelona and became Cyborg Foundation's artist in residence in 2016. In 2017, he co-founded the Transpecies Society, an association that gives voice to people who do not identify as being 100% human and raises awareness on issues they face. The association, based in Barcelona, offers workshops specialized in the design and creation of new senses and organs. De Aguas has shared his experience as a cyborg artist by performing and speaking in conferences and festivals in Germany, UK, Romania, Spain and The Netherlands among others. He also talks about it extensively in the Shaping Business Minds Through Art podcast.",Cyborgs
Polyethylene terephthalate,"Polyethylene terephthalate (sometimes written poly(ethylene terephthalate)), commonly abbreviated PET, PETE, or the obsolete PETP or PET-P, is the most common thermoplastic polymer resin of the polyester family and is used in fibres for clothing, containers for liquids and foods, and thermoforming for manufacturing, and in combination with glass fibre for engineering resins. It may also be referred to by the brand names Terylene in the UK, Lavsan in Russia and the former Soviet Union, and Dacron in the US. Bio-PET is the bio-based counterpart of PET. The majority of the world's PET production is for synthetic fibres (in excess of 60%), with bottle production accounting for about 30% of global demand. In the context of textile applications, PET is referred to by its common name, polyester, whereas the acronym PET is generally used in relation to packaging. Polyester makes up about 18% of world polymer production and is the fourth-most-produced polymer after polyethylene (PE), polypropylene (PP) and polyvinyl chloride (PVC). PET consists of polymerized units of the monomer ethylene terephthalate, with repeating (C10H8O4) units. PET is commonly recycled, and has the number ""1"" as its resin identification code (RIC). Depending on its processing and thermal history, polyethylene terephthalate may exist both as an amorphous (transparent) and as a semi-crystalline polymer. The semicrystalline material might appear transparent (particle size less than 500 nm) or opaque and white (particle size up to a few micrometers) depending on its crystal structure and particle size. The monomer bis(2-hydroxyethyl) terephthalate can be synthesized by the esterification reaction between terephthalic acid and ethylene glycol with water as a byproduct (this is also known as a condensation reaction), or by transesterification reaction between ethylene glycol and dimethyl terephthalate (DMT) with methanol as a byproduct. Polymerization is through a polycondensation reaction of the monomers (done immediately after esterification/transesterification) with water as the byproduct.",Biomaterials
Polytetrafluoroethylene,"Polytetrafluoroethylene (PTFE) is a synthetic fluoropolymer of tetrafluoroethylene that has numerous applications. The commonly known brand name of PTFE-based compositions is Teflon™ by Chemours, a spin-off from DuPont, which originally discovered the compound in 1938. Polytetrafluoroethylene is a fluorocarbon solid (at room temperature), as it is a high molecular weight polymer consisting wholly of carbon and fluorine. PTFE is hydrophobic: neither water nor water-containing substances wet PTFE, as fluorocarbons demonstrate mitigated London dispersion forces due to the high electronegativity of fluorine. PTFE has one of the lowest coefficients of friction of any solid. Polytetrafluoroethylene is used as a non-stick coating for pans and other cookware. It is non-reactive, partly because of the strength of carbon–fluorine bonds, and so it is often used in containers and pipework for reactive and corrosive chemicals. Where used as a lubricant, PTFE reduces friction, wear, and energy consumption of machinery. It is commonly used as a graft material in surgical interventions. It is also frequently employed as coating on catheters; this interferes with the ability of bacteria and other infectious agents to adhere to catheters and cause hospital-acquired infections.",Biomaterials
Vanderbilt exoskeleton,"The Vanderbilt exoskeleton, marketed as Indego, is a powered exoskeleton designed by the Center for Intelligent Mechatronics at Vanderbilt University in the U.S. state of Tennessee. It is intended to assist paraplegics, stroke victims and other paralyzed or semi-paralyzed people to walk independently. Motion and control technologies manufacturer Parker Hannifin is funding further development, and plans to release the first commercial version of the exoskeleton in 2015.",Mobility_devices
Biocompatibility,"Biocompatibility is related to the behavior of biomaterials in various contexts. The term refers to the ability of a material to perform with an appropriate host response in a specific situation. The ambiguity of the term reflects the ongoing development of insights into how biomaterials interact with the human body and eventually how those interactions determine the clinical success of a medical device (such as pacemaker, hip replacement or stent). Modern medical devices and prostheses are often made of more than one material so it might not always be sufficient to talk about the biocompatibility of a specific material. Since the immune response and repair functions in the body are so complicated it is not adequate to describe the biocompatibility of a single material in relation to a single cell type or tissue. Sometimes one hears of biocompatibility testing that is a large battery of in vitro test that is used in accordance with ISO 10993 (or other similar standards) to determine if a certain material (or rather biomedical product) is biocompatible. These tests do not determine the biocompatibility of a material, but they constitute an important step towards the animal testing and finally clinical trials that will determine the biocompatibility of the material in a given application, and thus medical devices such as implants or drug delivery devices. IUPAC definitionBiocompatibility (biomedical therapy): Ability of a material to perform with an appropriate host response in a specific application.Biocompatibility: Ability to be in contact with a living system without producing an adverse effect.",Biomaterials
Nicotine nasal spray,"A nicotine nasal spray is a nasal spray that contains a small dose of nicotine, which enters the blood by being absorbed through the lining of the nose. This helps stop nicotine cravings and relieves symptoms that occur when a person is trying to quit smoking. A prescription is needed for nicotine nasal spray in many countries. In the United Kingdom, it can be purchased in a pharmacy as an Over-the-counter drug.",Nasal_sprays
Intendix,"intendiX is a commercial brain-computer interface (BCI) environment. It is a personal BCI that anyone can use without technical training or outside support at home or in a hospital. Users can control any smart home device such as a television, music player, air conditioner, or light. IxtendiX can control other devices as well, such as mobile robots or games IntendiX was introduced in 2009 by Guger Technologies OG, . While intendiX has been used as an assistive technology by persons with severe disabilities, performance may be worse among users with disabilities due to fatigue, visual deficits, or impaired concentration, attention, or memory. Most people can use intendiX to spell five to ten characters per minute within about ten minutes of training.",Brain–computer_interfacing
Herbert screw,"The Herbert screw (invented by Timothy Herbert) is a variable pitch cannulated screw typically made from titanium for its biocompatible properties as the screw is normally intended to remain in the patient indefinitely. It became generally available in 1978. It is one of the earliest designs of headless compression screws which are used to achieve interfragmentary compression through its differential pitch between the threads at each end of the screw(distance between adjacent threads of screw). It is used in scaphoid, capitellum, radial head and in osteochondral fractures. Other uses include osteochondritis dissecans & small joint arthrodesis.",Orthopedic_screws
Wheelchair power add-on,"A wheelchair power add-on or power assist is a medical device Class I that provides manual wheelchair users with an easy-to-use power boost. It is designed for people who are unable to walk but who can independently move in a wheelchair. Thanks to quick adjustment possibilities and easy clip-on systems for a wide variety of wheelchairs, power add-ons may be used by people with a wide variety of walking impediments. A power add-on reduces the effort required to propel a wheelchair. Users may achieve the maximum degree of independence and be able to gain more independent freedom on ramp into home, over thresholds, on carpet, on inclines and other obstacles with greater ease, and will be able to travel further with more endurance to function throughout the day at the level needed to maintain the active lifestyle. In most cases, wheelchair power add-on has a lithium-ion battery allowing long run before needing a charge and compact, but powerful brushless DC electric motor. Wheelchair power add-on devices provide a more functional and less expensive option (versus a motorized wheelchair) for people who still have some ability in pushing a manual wheelchair. Wheelchair power add-on can easily be removed from chair when needed for transport for medical appointments, work, family events, in the family vehicle without requiring a fully equipped van. This can enhance the person's ability to maintain paid employment, volunteer work and other endeavours to be a productive member of the family and society.",Wheelchairs
Total Annihilation,"Total Annihilation is a real-time strategy video game created by Cavedog Entertainment, a sub-division of Humongous Entertainment, and was released on September 26, 1997 by GT Interactive for Microsoft Windows and Mac OS. Two expansion packs were released, The Core Contingency on April 28, 1998 and Battle Tactics on June 30. After the closure of the Cavedog Entertainment in 1999, the intellectual property fell to Infogrames (now Atari). Total Annihilation is no longer officially supported, due to the closure of Cavedog. Former lead designer Chris Taylor went on with Gas Powered Games to create Supreme Commander in 2007, considered the ""spiritual successor"" of Total Annihilation. The creators of XTA, a mod for Total Annihilation, independently developed the open-source 3D graphics Spring game engine. The Total Annihilation 3D project began in 2006. Other ex-members of Cavedog, including Total Annihilation's game engine developer Jon Mavor, later went on to develop Planetary Annihilation in 2014, another game in the same vein as Total Annihilation. In July 2013, Wargaming bought the Total Annihilation franchise from the Atari bankruptcy proceedings.",Cyborgs_in_fiction
Miguel Nicolelis,"Miguel Ângelo Laporta Nicolelis, M.D., Ph.D. (Portuguese pronunciation: [miˈɡɛw ˈɐ̃ʒelu lɐˈpɔɾtɐ nikoˈlɛlis], born March 7, 1961), is a Brazilian scientist, physician and Duke School of Medicine Professor in Neuroscience at Duke University, best known for his pioneering work surrounding brain-machine interface technology.",Brain–computer_interfacing
Annual BCI Research Award,"The BCI Award is an annual award for innovative research in the field of brain-computer interfaces. It is organized by the BCI Award Foundation. The prize is $3000 for first, $2000 for second, and $1000 for third place. Some prizes are provided by g.tec and Guger Technologies.. Christoph Guger is a chairman of the Foundation. In 2017 the awards were made during the Graz Brain-Computer Interface Conference at the Institute of Neural Engineering of Graz University of Technology in Graz, Austria.",Brain–computer_interfacing
Peter Nicholas (businessman),"Peter M. Nicholas co-founded medical device firm Boston Scientific with partner John Abele. Nicholas earned a B.A. from Duke University in 1964 and an M.B.A. from the University of Pennsylvania's Wharton School. Nicholas is Chairman Emeritus of the Duke Board of Trustees. In 2005 he was ranked #78 by Forbes magazine's list of ""The 400 Richest Americans"", with an estimated worth of $4 billion. Born to Greek-American parents, he met scientist Abele at a kids' soccer game in 1979. They borrowed $800,000 to start Boston Scientific, a manufacturer of medical devices. He helped grow the company through a series of astute acquisitions. In 1996, the Nicholas family gave $20 million to Duke University for the School of the Environment, which subsequently renamed the school in his honor. In 2000, Nicholas was a recipient of the Ellis Island Medal of Honor. In 2004, Nicholas and his wife Ginny made another large pledge to Duke, totaling $72 million. $70 million of that donation was to go to the Nicholas School of the Environment, while $2 million was to go to Perkins library. However, as of February 2012, much of the $72 million pledge has not been paid to Duke, far past the December 2008 deadline. Prior to co-founding Boston Scientific, Nicholas worked with Eli Lilly and Company. He currently serves on the Board of Advisors of the Nicholas Institute for Environmental Policy Solutions. Married to Virginia (Ginny) Lilly, the great-great-granddaughter of Eli Lilly. He is of Greek origin and divides his time between Natick, a suburb of Boston, and Woods Hole, a village on Cape Cod and Boca Grande, on the Gulf Coast of Florida.",Boston_Scientific_people
Perry Rhodan,"Perry Rhodan a long-running and popular German space opera franchise, named after its hero. It commenced in 1961. Having sold approximately two billion copies (in novella format) worldwide, (including over one billion in Germany alone), it is the most successful science fiction book series ever written. The first billion of worldwide sales was celebrated in 1986. The series has spun off into comic books, audio dramas, video games and the like. A reboot, Perry Rhodan NEO, was launched in 2011 and began publication in English starting in April 2021.",Cyborgs_in_fiction
Electroencephalography,"Electroencephalography (EEG) is an electrophysiological monitoring method to record electrical activity on the scalp that has been shown to represent the macroscopic activity of the surface layer of the brain underneath. It is typically non-invasive, with the electrodes placed along the scalp. Electrocorticography, involving invasive electrodes, is sometimes called intracranial EEG. EEG measures voltage fluctuations resulting from ionic current within the neurons of the brain. Clinically, EEG refers to the recording of the brain's spontaneous electrical activity over a period of time, as recorded from multiple electrodes placed on the scalp. Diagnostic applications generally focus either on event-related potentials or on the spectral content of EEG. The former investigates potential fluctuations time locked to an event, such as 'stimulus onset' or 'button press'. The latter analyses the type of neural oscillations (popularly called ""brain waves"") that can be observed in EEG signals in the frequency domain. EEG is most often used to diagnose epilepsy, which causes abnormalities in EEG readings. It is also used to diagnose sleep disorders, depth of anesthesia, coma, encephalopathies, and brain death. EEG used to be a first-line method of diagnosis for tumors, stroke and other focal brain disorders, but this use has decreased with the advent of high-resolution anatomical imaging techniques such as magnetic resonance imaging (MRI) and computed tomography (CT). Despite limited spatial resolution, EEG continues to be a valuable tool for research and diagnosis. It is one of the few mobile techniques available and offers millisecond-range temporal resolution which is not possible with CT, PET or MRI. Derivatives of the EEG technique include evoked potentials (EP), which involves averaging the EEG activity time-locked to the presentation of a stimulus of some sort (visual, somatosensory, or auditory). Event-related potentials (ERPs) refer to averaged EEG responses that are time-locked to more complex processing of stimuli; this technique is used in cognitive science, cognitive psychology, and psychophysiological research.",Brain–computer_interfacing
OpenVibe,"OpenViBE is a software platform dedicated to designing, testing and using brain-computer interfaces. The package includes a Designer tool to create and run custom applications, along with several pre-configured and demo programs which are ready for use. OpenViBE is software for real-time neuroscience (that is, for real-time processing of brain signals). It can be used to acquire, filter, process, classify and visualize brain signals in real time.",Brain–computer_interfacing
Cerebral shunt,"Cerebral shunts are commonly used to treat hydrocephalus, the swelling of the brain due to excess buildup of cerebrospinal fluid (CSF). If left unchecked, the cerebrospinal fluid can build up leading to an increase in intracranial pressure (ICP) which can lead to intracranial hematoma, cerebral edema, crushed brain tissue or herniation. The cerebral shunt can be used to alleviate or prevent these problems in patients who suffer from hydrocephalus or other related diseases. Shunts can come in a variety of forms but most of them consist of a valve housing connected to a catheter, the end of which is usually placed in the peritoneal cavity. The main differences between shunts are usually in the materials used to construct them, the types of valve (if any) used, and whether the valve is programmable or not.",Implants_(medicine)
Liniment,"Liniment (from the Latin linere, to anoint), or embrocation, is a medicated topical preparation for application to the skin. Sometimes called a heat rub, liniments may be water-like in viscosity or formulated as a lotion or balm and are usually rubbed in to allow for penetration of the active ingredients. Patches, sticks, and sprays are also available. Liniments are typically sold to relieve pain and stiffness, such as from sore muscular aches and strains, or arthritis. These are typically formulated from alcohol, acetone, or similar quickly evaporating solvents and contain counterirritant aromatic chemical compounds such as methyl salicilate, benzoin resin, menthol, or capsaicin. They produce a feeling of warmth within the muscle of the area they are applied to, typically acting as rubefacients via a counterirritant effect. The methyl salicylate that is the active analgesic ingredient in some heat-rub products can be toxic if they are used in excess. Heating pads are also not recommended for use with heat rubs, as the added warmth may cause overabsorption of the active ingredients.",Drug_delivery_devices
