label.value,abstract.value,words_string
Resting state fMRI,"Resting state fMRI (rsfMRI or R-fMRI) is a method of functional magnetic resonance imaging (fMRI) that is used in brain mapping to evaluate regional interactions that occur in a resting or task-negative state, when an explicit task is not being performed. A number of resting-state conditions are identified in the brain, one of which is the default mode network. These resting brain state conditions are observed through changes in blood flow in the brain which creates what is referred to as a blood-oxygen-level dependent (BOLD) signal that can be measured using fMRI. Because brain activity is intrinsic, present even in the absence of an externally prompted task, any brain region will have spontaneous fluctuations in BOLD signal. The resting state approach is useful to explore the brain's functional organization and to examine if it is altered in neurological or mental disorders. Because of the resting state aspect of this imaging, data can be collected from a range of patient groups including people with intellectual disabilities, pediatric groups, and even those that are unconscious. Resting-state functional connectivity research has revealed a number of networks which are consistently found in healthy subjects, different stages of consciousness and across species, and represent specific patterns of synchronous activity.","Magnetic_resonance_imaging,Medical_imaging,Neuroimaging"
Blind insertion airway device,"A blind insertion airway device (BIAD or blind insertion device) is a medical device used for airway management that ensures an open pathway between a patient's lungs and the outside world, as well as reducing the risk of aspiration, which can be placed without visualization of the glottis. Blind insertion airway devices are often used in the pre-hospital and emergency setting. While the term blind insertion airway device does not refer to an endotracheal tube, it too can also be blindly inserted in certain circumstances, or inserted using a BIAD as a conduit for an endotracheal tube, or by using a bougie or airway exchange catheter. Blind insertion devices have a number of limitations compared to endotracheal intubation, firstly the risk of aspiration is higher when using a blind insertion device. Examples of blind insertion airway devices are: 
* Combitube 
* Laryngeal tube 
* Laryngeal mask airway 
* Nasopharyngeal airway 
* Oropharyngeal airway",Anesthetic_equipment
Surgical tape,"Surgical tape or medical tape is a type of pressure-sensitive adhesive tape used in medicine and first aid to hold a bandage or other dressing onto a wound. These tapes usually have a hypoallergenic adhesive which is designed to hold firmly onto skin, dressing materials, and underlying layers of tape, but to remove easily without damaging the skin. They allow air to reach the skin (""breathable""). Some breathable tapes such as kinesiology tape, and other elastic bandages with adhesive are made of cotton. Surgical tape is often white because it contains zinc oxide, which is added to help prevent infections. Tapes made of porous material, such as 3M Micropore, are widely used. Some types are commonly used in sports to add a non-slip wrapping to things which must be gripped, such as tennis racquets, and hockey and lacrosse sticks, because of their rough texture and removability leaving little residue.","Medical_dressings,Surgical_instruments"
Transcranial direct-current stimulation,"Transcranial direct current stimulation (tDCS) is a form of neuromodulation that uses constant, low direct current delivered via electrodes on the head. It was originally developed to help patients with brain injuries or neuropsychiatric conditions such as major depressive disorder. It can be contrasted with cranial electrotherapy stimulation, which generally uses alternating current the same way, as well as transcranial magnetic stimulation. Research shows increasing evidence for tDCS as a treatment for depression. There is mixed evidence about whether tDCS is useful for cognitive enhancement in healthy people. There is no strong evidence that tDCS is useful for memory deficits in Parkinson's disease and Alzheimer's disease, non-neuropathic pain, nor for improving arm or leg functioning and muscle strength in people recovering from a stroke. There is emerging supportive evidence for tDSC in the management of schizophrenia - especially for negative symptoms.",Medical_devices
Lens clock,"A lens clock is a mechanical dial indicator that is used to measure the dioptric power of a lens. It is a specialized version of a spherometer. A lens clock measures the curvature of a surface, but gives the result as an optical power in diopters, assuming the lens is made of a material with a particular refractive index.",Ophthalmic_equipment
Allis clamp,"An Allis clamp (also called the Allis forceps) is a commonly used surgical instrument. 
* The Allis clamp is a surgical instrument with sharp teeth, used to hold or grasp heavy tissue. It is also used to grasp fascia and soft tissues such as breast or bowel tissue. Allis clamps can cause damage, so they are often used in tissue about to be removed. 
* When used to grasp the cervix to stabilize the uterus, such as when an intrauterine device is being inserted, an Allis clamp has the advantage of causing less bleeding than the more commonly used tenaculum.",Surgical_instruments
Magnetic resonance elastography,"Magnetic resonance elastography (MRE) is a form of elastography that specifically leverages MRI to quantify and subsequently map the mechanical properties (elasticity or stiffness) of soft tissue. First developed and described at Mayo Clinic by Muthupillai et al. in 1995, MRE has emerged as a powerful, non-invasive diagnostic tool, namely as an alternative to biopsy and serum tests for staging liver fibrosis. Diseased tissue (e.g. a breast tumor) is often stiffer than the surrounding normal (fibroglandular) tissue, providing motivation to assess tissue stiffness. This principle of operation is the basis for the longstanding practice of palpation, which, however, is limited (except at surgery) to superficial organs and pathologies, and by its subjective, qualitative nature, depending on the skill and touch sensitivity of the practitioner. Conventional imaging techniques of CT, MRI, US, and nuclear medicine are unable to offer any insight on the elastic modulus of soft tissue. MRE, as a quantitative method of assessing tissue stiffness, provides reliable insight to visualize a variety of disease processes which affect tissue stiffness in the liver, brain, heart, pancreas, kidney, spleen, breast, uterus, prostate, and skeletal muscle. MRE is conducted in three steps: first, a mechanical vibrator is used on the surface of the patient's body to generate shear waves that travel into the patient's deeper tissues; second, an MRI acquisition sequence measures the propagation and velocity of the waves; and finally this information is processed by an inversion algorithm to quantitatively infer and map tissue stiffness in 3-D. This stiffness map is called an elastogram, and is the final output of MRE, along with conventional 3-D MRI images as shown on the right.","Magnetic_resonance_imaging,Medical_imaging"
Iknife,"Onkoknife, iKnife, or intelligent scalpel (English: Jedi knife, onkoknife; Hungarian: onkokés, intelligens sebészi kés) is a surgical knife, which tests tissue as it contacts it during an operation, and immediately gives information as to whether that tissue contains cancer cells. During a surgery this information is given continuously to the surgeon, significantly accelerating biological tissue analysis and enabling identification and removal of cancer cells. Electroknives have been in use since the 1920s and smart knife surgery is not limited only to cancer detection. In clinical studies the iKnife has shown impressive diagnostic accuracy - identifying benign gynaecological tissue from ovarian cancer (97.4% sensitivity, 100% specificity), breast tumour from normal breast tissue (90.9% sensitivity, 98.8% specificity) and recognises histological features of poor prognostic outcome in colorectal carcinoma. Furthermore, the technology behind iKnife - rapid evaporative ionisation mass spectrometry (REIMS) - can identify Candida yeasts down to species level.",Surgical_instruments
Non-contact thermography,"Non-contact thermography, thermographic imaging, or medical thermology is the field of thermography that uses infrared images of the human skin to assist in the diagnosis and treatment of medical conditions. Medical thermology is sometimes referred to as medical infrared imaging or tele-thermology and utilizes thermographic cameras. According to the American Academy of Thermology, Medical Thermology practitioners are licensed health care practitioners who utilize IR imaging in consistent with medically established paradigms of care. Non-medically licensed alternative practitioners who are not held to the same standard may offer thermography services but that should not be confused with the field of medical thermology. Restated, medical thermology is the use of infrared (IR) imaging to assess skin temperature as an extension of the clinician's physical exam to aid in the formation of a medical diagnosis or treatment plan. Medical Thermology does not condone those who purport that ""Thermography"" can find disease by looking for areas of the body that have abnormal heat or irregular blood flow. IR imaging simply does not have the ability to assess temperature beyond the surface of the skin. Thermography is a physiologic study and is not a replacement for structural studies such as X-Ray, MRI, or Mammography. As a physiologic study, however, medical thermology has many health-related indications. The American Academy of Thermology (AAT) (www.aathermology.org) has published internationally peer-reviewed guidelines for neuro-musculoskeletal (MSK), breast, veterinary, and oral-systemic disease. Examples of neuro-musculoskeletal indications for medical thermology include Reflex Sympathetic Dystrophy (RSD), Chronic Regional Pain Syndrome (CRPS), Dysautonomia, Migraine, Fibromyalgia (and other weather-sensitive pain syndromes), thoracic outlet syndrome, and vaso-motor migraine/headaches such as Barre-Lieou syndrome. This is especially true when used to monitor the results of a cold stress (cold presser) test. While there are several clinical studies showing the effectiveness of thermography in detecting temperature abnormalities of breast skin, breast thermography is only approved as an adjunct modality only for breast disease and/or cancer. In that regard it is a breast risk health assessment only. A summary of some of the clinical trials for breast thermography is available in this white paper from UE LifeSciences pdf. Veterinary thermography indications include, but are not limited to, assessment of shoring, limb inflammation, and sweating disorders. When properly used, a commonly known oral-systemic indication for IR imaging is temperature measurement for fever screening. While there are several other oral-systemic indications out lined in the American Academy of Thermology's Oral -Systemic Guidelines. Whole body studies are not performed for medical purposes. Telethermography systems are regulated as a medical device under 21 CFR 884.2980.","Breast_imaging,Medical_imaging"
Computed Corpuscle Sectioning,"Computed Corpuscle Sectioning is a general method for determining the volume, profile area, and perimeter of a slab section of any computer-modeled three-dimensional object in any orientation and at any position. It was originally developed as a model of cell nuclei in a tissue section in conjunction with the Reference Curve Method for correcting ploidy measurements by image analysis in a tissue section, but it is useful for evaluating any algorithm that corrects ploidy measurements for the effect of sectioning. Computed Corpuscle Sectioning has obvious pertinence to stereology, but has not been exploited in that field. The patents on this method (U.S. Patent numbers 5,918,038, 6,035,258, and 6,603,869) are no longer in force.",Medical_imaging
Cranioclast,"A cranioclast (from Greek κρανίον kranion ""head, scull"" and -κλάστης -klastes ""breaker"") is surgical instrument akin to a strong forceps. It was once used to crush and then extract the skull of a fetus so as to facilitate delivery in cases of obstructed labour.",Surgical_instruments
RTI-32,"(–)-2β-Carbomethoxy-3β-(4-tolyl)tropane (RTI-4229-32, tolpane) is a phenyltropane-based cocaine analogue that has similar properties in vitro to related drugs such as RTI-31.","Medical_imaging,Neuroimaging"
MitraClip,MitraClip (mitral clip) is a medical device used to treat mitral valve regurgitation for individuals who should not have open-heart surgery. It is implanted via a tri-axial transcatheter technique and involves suturing together the anterior and posterior mitral valve leaflets.,Medical_devices
Ambra Health,"Ambra Health (formerly DICOM Grid), is a software company that provides solutions for medical image sharing of DICOM and non-DICOM data between patients, physicians, and hospitals. As of 2016, the company has raised over $45 million for developing its cloud platform.",Medical_imaging
Tracheotome,"A tracheotome is a medical instrument used to perform an incision in the trachea with a cutting blade operated by a powered cannula. It is often called a tracheostomy tube because once it enters the stoma in the trachea, a breathing tube is connected to a ventilator and oxygen is provided to the lungs. There are different types of tracheotomes. They can be made of metal, plastic or silicone. Plastic and silicone are widely used since they reduce the complications from the tracheotomy procedure such as subglottic stenosis and erosion of large blood vessels.",Surgical_instruments
Photoactivated localization microscopy,"Photo-activated localization microscopy (PALM or FPALM)and stochastic optical reconstruction microscopy (STORM) are widefield (as opposed to point scanning techniques such as laser scanning confocal microscopy) fluorescence microscopy imaging methods that allow obtaining images with a resolution beyond the diffraction limit. The methods were proposed in 2006 in the wake of a general emergence of optical super-resolution microscopy methods, and were featured as Methods of the Year for 2008 by the Nature Methods journal.The development of PALM as a targeted biophysical imaging method was largely prompted by the discovery of new species and the engineering of mutants of fluorescent proteins displaying a controllable photochromism, such as photo-activatible GFP. However, the concomitant development of STORM, sharing the same fundamental principle, originally made use of paired cyanine dyes.One molecule of the pair (called activator), when excited near its absorption maximum, serves to reactivate the other molecule (called reporter) to the fluorescent state. A growing number of dyes are used for PALM, STORM and related techniques, both organic fluorophores and fluorescent proteins. Some are compatible with live cell imaging, others allow faster acquisition or denser labeling. The choice of a particular fluorophore ultimately depends on the application and on its underlying photophysical properties. Both techniques have undergone significant technical developments, in particular allowing multicolor imaging and the extension to three dimensions, with the best current axial resolution of 10 nm in the third dimension obtained using an interferometric approach with two opposing objectives collecting the fluorescence from the sample.",Medical_imaging
Stethoscope,"The stethoscope is an acoustic medical device for auscultation, or listening to internal sounds of an animal or human body. It typically has a small disc-shaped resonator that is placed against the skin, and one or two tubes connected to two earpieces. A stethoscope can be used to listen to the sounds made by the heart, lungs or intestines, as well as blood flow in arteries and veins. In combination with a manual sphygmomanometer, it is commonly used when measuring blood pressure. Less commonly, ""mechanic's stethoscopes"", equipped with rod shaped chestpieces, are used to listen to internal sounds made by machines (for example, sounds and vibrations emitted by worn ball bearings), such as diagnosing a malfunctioning automobile engine by listening to the sounds of its internal parts. Stethoscopes can also be used to check scientific vacuum chambers for leaks and for various other small-scale acoustic monitoring tasks. A stethoscope that intensifies auscultatory sounds is called a phonendoscope.",Medical_testing_equipment
Airtraq,"Airtraq is a fibreoptic intubation device used for indirect (video or optic assisted) tracheal intubation in difficult airway situations. It is designed to enable a view of the glottic opening without aligning the oral with the pharyngeal, and laryngeal axes as an advantage over direct endotracheal intubation and allows for intubation with minimal head manipulation and positioning.",Emergency_medical_equipment
Hitachi Magic Wand,"The Hitachi Magic Wand (renamed Magic Wand Original and Original Magic Wand) is an AC-powered wand vibrator. It was originally manufactured for relieving tension and relaxing sore muscles, but is most famous for its use as a sex toy. Japanese company Hitachi listed the device for business in the United States in 1968. Sex educator Betty Dodson popularized its use as a vibrator and masturbation aid for women during the sex-positive movement in the late 1960s. It functions effectively as a clitoral vibrator and is able to bring many people to orgasm. The wand is 12 inches (30 cm) long and weighs 1.2 pounds (540 g) with stimulation provided by its rubberized 2.5-inch (64 mm) head. Hitachi asserts that its sole intended use is for health care purposes, but Hitachi's national sales manager said ""we approach the massagers as personal care items... the people we hire know what it's for without our having to say it"". Hitachi had a conflict with its U.S. distributor in 2000 and briefly stopped selling the device until it reached a new deal with distributor Vibratex. The Magic Wand sold out after being featured in a 2002 episode of Sex and the City. Hitachi ceased production of the device in 2013 because of concerns about having the company name attached to a sex toy. Vibratex persuaded the company to continue manufacturing it under the name ""Original Magic Wand"", omitting the Hitachi name. In 2014, the company used the name ""Magic Wand Original"". Academics have researched its use for treatment of female sexual arousal disorder and chronic anorgasmia—a sexual dysfunction in which a person cannot achieve orgasm. The Journal of Consulting and Clinical Psychology published a 1979 study which found self-administered treatment and use of the Magic Wand to be the best method to achieve orgasm. In 2008, The Scientific World Journal published research finding over 93% of a group of 500 chronic anorgasmic women could reach orgasm using the Magic Wand and the Betty Dodson Method. The device was used in studies in many applications, including articles published in Dermatology Online Journal, Journal of Applied Physiology, Experimental Brain Research, Neuroscience Letters, and Journal of Perinatal & Neonatal Nursing. The Magic Wand has alternatively been referred to as the Cadillac of vibrators, the Rolls-Royce of vibrators, and the mother of all vibrators. Counselors Bettina Arndt, Laura Berman, Gloria Brame, and Ruth Westheimer recommended the device to women, and Cosmopolitan magazine reported the Magic Wand was the vibrator most often suggested by sex therapists. Mobile Magazine readers in 2005 voted the Magic Wand ""the No. 1 greatest gadget of all time"". Tanya Wexler's film Hysteria featured the device while showing the evolution of the vibrator. Engadget called the Magic Wand ""the most recognizable sex toy on Earth"".","Massage_devices,Vibrators"
Schiøtz tonometer,"Schiøtz tonometer is an indentation tonometer, used to measure the intraocular pressure (IOP) by measuring the depth produced on the surface of the cornea by a load of a known weight. The indentation of corneal surface is indirectly proportional to the IOP.",Ophthalmic_equipment
RTI-51,"(–)-2β-Carbomethoxy-3β-(4-bromophenyl)tropane (RTI-4229-51, bromopane) is a semi-synthetic alkaloid in the phenyltropane group of psychostimulant compounds. First publicized in the 1990s, it has not been used enough to have gained a fully established profile. RTI-51 can be expected to have properties lying somewhere in between RTI-31 and RTI-55. Importantly it has a ratio of monoamine reuptake inhibition of D > S > N (1.8:10.6:37.4nM respectively) which is an unusual balance of effects not produced by other commonly used compounds (although RTI-121 is similar, but more DAT selective). It has been used in its 76Br radiolabelled form to map the distribution of dopamine transporters in the brain. Modern research seems to confirm the above hypothesis. However, earlier work produced more scattered results. Based upon what is obvious from the table, RTI-31, RTI-51, and RTI-55 are all similarly potent TRIs. Data in Above table from rats brains (1995). More recent work has advocated using cloned human transporter/s.","Medical_imaging,Neuroimaging"
Keratometer,"A keratometer, also known as an ophthalmometer, is a diagnostic instrument for measuring the curvature of the anterior surface of the cornea, particularly for assessing the extent and axis of astigmatism. It was invented by the German physiologist Hermann von Helmholtz in 1851, although an earlier model was developed in 1796 by Jesse Ramsden and Everard Home. A keratometer uses the relationship between object size (O), image size (I), the distance between the reflective surface and the object (d), and the radius of the reflective surface (R). If three of these variables are known (or fixed), the fourth can be calculated using the formula There are two distinct variants of determining R; Javal-Schiotz type keratometers have a fixed image size and are typically 'two position', whereas Bausch and Lomb type keratometers have a fixed object size and are usually 'one position'.",Ophthalmic_equipment
Leucotome,"A leucotome or McKenzie Leucotome is a surgical instrument used for performing leucotomies (also known as lobotomy) and other forms of psychosurgery. Invented by Canadian neurosurgeon Dr. Kenneth G. McKenzie in the 1940s, the leucotome has a narrow shaft which is inserted into the brain through a hole in the skull, and then a plunger on the back of the leucotome is depressed to extend a wire loop or metal strip into the brain. The leucotome is then rotated, cutting a core of brain tissue. This type was used by the Nobel prize-winning Portuguese neurologist Egas Moniz. Another, different, surgical instrument also called a leucotome was introduced by Walter Freeman for use in the transorbital lobotomy. Modeled after an ice-pick, it consisted simply of a pointed shaft. It was passed through the tear duct under the eyelid and against the top of the eyesocket. A mallet was used to drive the instrument through the thin layer of bone and into the brain along the plane of the bridge of the nose, to a depth of 5 cm. Due to incidents of breakage, a stronger but essentially identical instrument called an orbitoclast was later used. Lobotomies were commonly performed from the 1930s to the 1960s, with a few as late as the 1980s in France.",Surgical_instruments
Injection port,"An injection port is a medical device used for the administration of insulin or other physician approved medicine into the subcutaneous tissue (the tissue layer just below the skin). The device is similar to infusion sets used by insulin pumps, except it is configured to receive a syringe instead of a tubing system. An injection port is usually a disposable device applied by the patient and worn for period of 3–5 days. When giving shots via an injection port, the needle stays above the surface of the skin. Medication is delivered via a short soft cannula. An injection port can be used in conjunction with multiple daily injections of insulin by people with diabetes. It can also be used for the subcutaneous administration of any other physician prescribed medication",Diabetes-related_supplies_and_medical_equipment
Protected percutaneous coronary intervention,"Protected percutaneous coronary intervention, abbreviated as Protected PCI, is a heart procedure that involves a ventricular assist device that is used to treat patients with cardiovascular disease, including advanced heart failure.",Medical_devices
Ocular tonometry,"Tonometry is the procedure eye care professionals perform to determine the intraocular pressure (IOP), the fluid pressure inside the eye. It is an important test in the evaluation of patients at risk from glaucoma. Most tonometers are calibrated to measure pressure in millimeters of mercury (mmHg).",Ophthalmic_equipment
Periowave,"Periowave is an antimicrobial photodynamic therapy (a-PDT) machine. It is used in periodontics, endodontics and operative dentistry to kill bacteria or inhibit the growth of bacteria (e.g. Porphyromonas gingivalis). Antimicrobial photodynamic therapy is the process in which light and photosensitizer are used to destroy cell membrance of the bacteria by the action of reactive oxygen species and singlet oxygen. Professor Michael Wilson of University College London is the pioneer of photodisinfection or a-PDT which is a non-invasive, non-antibiotic and non-surgical procedure. The Periowave aPDT system was introduced to the market by Ondine Biomedical Inc., Vancouver B.C. in 2006. Periowave is approved for the treatment of chronic periodontitis, gingivitis, endodontics, and peri-implantitis disease. It is a non-antibiotic therapy that destroys gram-negative oral pathogens without pain, heat, or surgery. Unlike thermal lasers that cut tissue, Periowave utilizes a cold (non-thermal) diode laser. It does not cause damage to root surfaces, dental materials, or surrounding tissues. Periowave does not exhibit many of the issues commonly associated with antibiotics, such as bacterial resistance, allergic or sensitivity reactions, opportunistic infections, or prolonged doses of medication.",Dental_equipment
Surgical scissors,"Surgical scissors are surgical instruments usually used for cutting. They include bandage scissors, dissecting scissors, iris scissors, operating scissors, stitch scissors, tenotomy scissors, Metzenbaum scissors, plastic surgery scissors and Mayo scissors. Surgical scissors are usually made of stainless steel. Some scissors have tungsten carbide reinforcements along their cutting edges. The hardness of this material allows the manufacturers to create sharper edges, which allows for easier and smoother cuts and keeps the scissors sharp longer.","Surgical_instruments,Surgical_scissors"
Health Canada,"Health Canada (HC; French: Santé Canada, SC) is the department of the Government of Canada responsible for national health policy. The department itself is also responsible for numerous federal health-related agencies, including the Canadian Food Inspection Agency (CFIA) and the Public Health Agency of Canada (PHAC), among others. These organizations help to ensure compliance with federal law in a variety of healthcare, agricultural, and pharmaceutical activities. This responsibility also involves extensive collaboration with various other federal- and provincial-level organizations in order to ensure the safety of food, health, and pharmaceutical products—including the regulation of health research and pharmaceutical manufacturing/testing facilities. The department is responsible to Parliament through the minister of health – presently Patty Hajdu – as part of the federal health portfolio. The deputy minister of health, the senior most civil servant within the department, is responsible for the day-to-day leadership and operations of the department and reports directly to the minister. Originally created as the ""Department of Health"" in 1919—in the wake of the Spanish flu crisis—what is known as Health Canada today was formed in 1993 from the former Health and Welfare Canada department (established in 1944), which split into two separate units; the other department being Human Resources and Labour Canada.",Regulation_of_medical_devices
Laser diode,"A laser diode, (LD), injection laser diode (ILD), or diode laser is a semiconductor device similar to a light-emitting diode in which a diode pumped directly with electrical current can create lasing conditions at the diode's junction. Laser diodes can directly convert electrical energy into light. Driven by voltage, the doped p-n-transition allows for recombination of an electron with a hole. Due to the drop of the electron from a higher energy level to a lower one, radiation, in the form of an emitted photon is generated. This is spontaneous emission. Stimulated emission can be produced when the process is continued and further generate light with the same phase, coherence and wavelength. The choice of the semiconductor material determines the wavelength of the emitted beam, which in today's laser diodes range from infra-red to the UV spectrum. Laser diodes are the most common type of lasers produced, with a wide range of uses that include fiber optic communications, barcode readers, laser pointers, CD/DVD/Blu-ray disc reading/recording, laser printing, laser scanning and light beam illumination. With the use of a phosphor like that found on white LEDs, Laser diodes can be used for general illumination.",Dental_lasers
Libin Cardiovascular Institute of Alberta,"The Libin Cardiovascular Institute is a partnership between Alberta Health Services and the University of Calgary. Its mandate comprises all cardiovascular research, education and service delivery, with a service area extending from Saskatchewan, Southern Alberta and Eastern British Columbia. The Institute coordinates the activities of over 1,500 individuals in Southern Alberta. Of its more than 175 research and clinician members, over 75 are cardiologists, making it the largest heart or cardiovascular institute in Western Canada by that measure. Individuals affiliated with the Libin Cardiovascular Institute have provided significant leadership and input to the Canadian Heart Health Strategy and Action Plan (CHHS-AP). Institute participation included Eldon Smith OC, MD, FRCPC who was appointed as Chair of the Steering Committee by the Federal Canadian Minister of Health in 2006, as well as Norman Campbell MD, FRCPC, also a member of the CHHS-AP Steering Committee.","Cardiac_electrophysiology,Magnetic_resonance_imaging"
Ligand-gated ion channel,"Ligand-gated ion channels (LICs, LGIC), also commonly referred to as ionotropic receptors, are a group of transmembrane ion-channel proteins which open to allow ions such as Na+, K+, Ca2+, and/or Cl− to pass through the membrane in response to the binding of a chemical messenger (i.e. a ligand), such as a neurotransmitter. When a presynaptic neuron is excited, it releases a neurotransmitter from vesicles into the synaptic cleft. The neurotransmitter then binds to receptors located on the postsynaptic neuron. If these receptors are ligand-gated ion channels, a resulting conformational change opens the ion channels, which leads to a flow of ions across the cell membrane. This, in turn, results in either a depolarization, for an excitatory receptor response, or a hyperpolarization, for an inhibitory response. These receptor proteins are typically composed of at least two different domains: a transmembrane domain which includes the ion pore, and an extracellular domain which includes the ligand binding location (an allosteric binding site). This modularity has enabled a 'divide and conquer' approach to finding the structure of the proteins (crystallising each domain separately). The function of such receptors located at synapses is to convert the chemical signal of presynaptically released neurotransmitter directly and very quickly into a postsynaptic electrical signal. Many LICs are additionally modulated by allosteric ligands, by channel blockers, ions, or the membrane potential. LICs are classified into three superfamilies which lack evolutionary relationship: cys-loop receptors, ionotropic glutamate receptors and ATP-gated channels.",Electrophysiology
